Tag,RTO name
MH0220220000149,Mumbai_byculla
MH0220220000150,Mumbai_urban
MH0220220000151,Mumbai_urban
MH0220220000152,Mumbai_urban
MH0220220000153,Mumbai_vikhroli
MH0220220000154,Mumbai_urban
MH0220220000155,Mumbai_urban
MH0220220000156,Mumbai_urban
MH0220220000157,Mumbai_worli
MH0220220000158,Mumbai_urban
MH0220220000159,Mumbai_urban
MH0220220000160,Mumbai_urban
MH0220220000161,Mumbai_worli
MH0220220000162,Mumbai_urban
MH0220220000163,Mumbai_vashi
MH0220220000164,Mumbai_urban
MH0220220000165,Mumbai_urban
MH0220220000166,Mumbai_bandra
MH0220220000167,Mumbai_urban
MH0220220000168,Mumbai_bandra
MH0220220000169,Mumbai_urban
KA0920220000170,Mysore_urban
MH3120220000171,Nagpur_urban
MH3120220000172,Nagpur_urban
DL1020220000173,New Delhi_urban
DL1020220000174,New Delhi_urban
DL1020220000175,New Delhi_urban
DL1020220000176,New Delhi_urban
DL1020220000177,New Delhi_urban
DL1020220000178,New Delhi_urban
DL1020220000179,New Delhi_urban
DL1020220000180,New Delhi_urban
DL1020220000181,New Delhi_urban
DL1020220000182,New Delhi_urban
DL1020220000183,New Delhi_urban
DL1020220000184,New Delhi_urban
DL1020220000185,New Delhi_urban
UP1620220000186,Noida_rural
UP1620220000187,Noida_urban
UP1620220000188,Noida_urban
UP1620220000189,Noida_urban
UP1620220000190,Noida_rural
MH1220220000191,Pune_rural
MH1220220000192,Pune_urban
MH1220220000193,Pune_urban
MH1220220000194,Pune_urban
MH1220220000195,Pune_rural
CG0420220000196,Raipur_urban
TN0120220000197,Chennai_urban
KL0120220000198,Trivandram_urban
TS1220220000199,Hyderabad_urban
TS1220220000200,Hyderabad_urban
